1,tianhe,20010,9.28,16.32,17.73,17.73,16.32,17.99
2,jibo,20011,3.18,81.32,83.08,84.77,81.3,83.99
3,lingzhi,20012,1.54,43.6,44.21,46.66,43.6,44.28
4,beier,20013,0.77,44.26,43.5,45.63,43.5,43.92
5,aote,20014,1.7,51.37,52.89,53.18,51.2,52.26
6,jinke,20015,3.54,43.25,41.96,46.68,40.68,41.77
7,shuoshi,20016,18.68,223.42,210.08,223.87,196.96,188.25
8,saite,20017,0.05,56.45,56.01,57.9,56.01,56.48
9,huarui,20018,3.69,38.39,39.15,39.39,38.37,39.86
10,pumen,20019,5.51,29.86,29.16,30.25,28.2,28.3
11,jiayuan,20020,0.25,51.65,51.97,52.5,51.28,51.78
12,zhiyuan,20021,0.34,67.17,67.04,68.69,66.64,67.4
13,jingfeng,20022,1.81,76,76.79,77.86,75.5,77.4
14,haohai,20023,0.62,81.2,80.86,82.63,80.18,80.7
15,guangyun,20024,8.24,61.25,65.48,65.98,61.2,66.75
16,yulv,20024,5.51,61.25,39.15,65.98,51.28,66.75
